month,hour,year,location,operator,route,type,aboard,fatalities,summary
1,19,1969,"Off Los Angeles, California",Scandinavian Airlines (SAS),Copenhagen - Los Angeles - Seattle,McDonnell Douglas DC-8-62,45,15,The aircraft was on approach to 07R when it crashed into Santa Monica Bay 6 miles short of the runway. The fuselage  broke into 3 pieces one of which floated for 20 hours. SAS did not authorize a back course approach to LAX.  A VOR approach was conducted without notifying the controlling authority. The crew was preoccupied with a landing gear light problem. Lack of crew coordination and inadequate monitoring of aircraft position which resulted in an unplanned descent into the water. The aircraft was named 'Sverre Viking.'
1,18,1969,"Off Los Angeles, California",United Air Lines,Los Angeles - Denver - Milwaukee,Boeing B-727-22QC,38,38,"The aircraft crashed into Santa Monica Bay shortly after a night takeoff in poor weather and visibility. The crew reported a fire warning in  the No. 1 engine and shut it down. After initiating a turn, the aircraft crashed into the water at high speed. The aircraft was dispatched with one generator inoperative. While this was legal, United was required to repair the generator at the first airport where there were repair facilities. The aircraft flew for a total of 41 hours with the inoperative generator passing through airports that had the facilities to repair the generator. Shutting  down the engine took the second generator offline leaving just one generator which became overloaded causing it to trip, resulting in the loss of all electrical power in the aircraft. For reasons undetermined, the battery standby switch was not turned on. At night, in rain, with no lights or instruments, the captain became disoriented and crashed into the PacifiOcean, 11.5 miles west of Los Angeles International Airport, four minutes after its initial takeoff roll. Battery backup for instruments was not required at the time. This crash prompted the FAA to require all transport category aircraft to have a standby attitude indicator which is powered by an independent source. False fire warning which prompted the shutting down of the No. 1 engine. Failure of the crew to unpower the heavy electrical loads before shutting down the No. 1 engine. Failure of UAL to repair the No. 3 generator in a timely manner."
2,6,1969,"Port Angeles, Washington",Pudget Sound Air - Air Taxi,Port Angeles - Seattle,Beechcraft C-45H,10,10,The plane crashed after a premature liftoff for unknown reasons.
2,11,1969,"Off Batan Islands, Philippines",Military - U.S. Air Force,,Lockheed C-130H,14,13,Inadvertent contact with the water during low-level flight over open ocean while searching for survivors.
2,5,1969,"Near Lone Pine, California",Mineral County Airlines,"Hawthorne, NV - Burbank - Long Beach",Douglas DC-3,35,35,"Flew into  Mt. Whitney at 11,800 ft. Deviated from prescribed course, as authorized, resulting in the aircraft being operated under IFR weather conditions, in high mountainous terrain, in an area where there was a lack of radio navigation aids. Aircraft recovered 8/8/69."
3,17,1969,"San Juan, Puerto Rico",Prinair,Saint Thomas - San Juan,de Havilland DH-114 Heron 2D,19,19,Crashed into the Sierra de Luquillo mountains. The vectoring of the aircraft by a ATC trainee into mountainous terrain under IFR  conditions without adequate clearance altitude.
3,15,1969,"Minchumina, Alaska",Wien Consolidated Airlines,Fairbanks - Bethel - Minchumina,de Havilland DHC-6,5,1,Crashed after the pilot experienced spatial disorientation in a whiteout.
3,12,1969,"Maracaibo, Zulia, Venezuela",Venezolana Internacional de Aviacion,Maracaibo - Miami,McDonnell Douglas DC-9-32,84,84,"Seconds after becoming airborne, the aircraft struck electrical power lines and crashed into houses in the La Trinidad section of the city. Takeoff calculations made from erroneous information. Faulty temperature sensor along the runway. San Francisco Giants pitcher Nestor Chavez, 22,  killed."
3,11,1969,"Kansas City, Kansas",Leamon Flying Service,,Bell 47G2A1 / Cessna 150H,3,3,"Midair collision. Two killed on the Bell, 1 on the Cessna.  Improper or conflicting instructions from ATC. Pilot failed to avoid and see other aircraft."
3,2,1969,"Near Aswan, Egypt",United Arab Airlines,Jeddah - Aswan,Ilyushin IL-18D,105,100,The aircraft crashed and burned while attempting to land  at Aswan Airport for the third time. The pilot descended below minimum safe altitude without having the runway lights clearly in sight. A contributing factor was pilot fatigue.
3,6,1969,"New Orleans, Louisiana",Avion Airways,Memphis - New Orleans,Douglas DC-3,27,16,Crashed while landing in fog. The aircraft was being operated under VFR when it entered a shallow fog overlying the approach lights. Failure of the crew to discontinue descent into conditions below minima upon reaching the decision height. Improper IFR operation. Misunderstanding of instructions. Exercising of poor judgment. Poor crew coordination. Pilot fatigue.
4,12,1969,"Off New Providence Island, Bahamas",Islands of the Bahamas Inc,,Curtiss C-46F,2,2,The cargo aircraft crashed into the ocean after a reported fire.
4,12,1969,"Near Quang Tri, South Vietnam",Military - U.S. Army,,Boeing Vertol CH47C (helicopter),78,24,"As the helicopter was taking off in a vertical climb, there was a loss in rotor speed and the aircraft touched down on the edge of a ravine and rolled over causing the rotor blades to strike the ground and a fire to erupt."
4,13,1969,"Off Chongjin, North Korea",Military - U.S. Navy,,Lockheed EC-121M,31,31,The aircraft was shot down over the Sea of Japan by two North Korean MiG jet fighters while making a reconnaissance flight.
4,13,1969,"Craig, Alaska",Simpson Air Service - Air Taxi,,de Havilland DHC-2,9,9,"Crashed into water after making a steep, nose high turn. Pilot in command failed to maintain flying speed."
4,14,1969,"Khulna, Bangladesh",Indian Airlines,"Silchar, India - Khulna, Bangladesh",Fokker F-27 Friendship 100,44,44,The aircraft crashed in adverse weather conditions. Windshear. The crew tried to fly through thunderstorms at a low level but lost control in severe downdrafts.
4,16,1969,"Near Nakhon Ratchasima , Thailand",Military - U.S. Air Force,,Lockheed EC121R,18,18,The aircraft crashed shortly after taking off from Korat Air Base. The plane climbed to about 500 ft. and then slammed into the ground and burst into flames. Severe windshear.
5,13,1969,"Near Chon Thanh, South Vietnam",Military - U.S. Army,,Boeing Vertol CH47A (helicopter),74,30,"As the helicopter was taking off, the landing gear became entangled in some wire which dragged the aircraft down and caused it to fall over a cliff."
5,12,1969,"Medford, New Jersey",Flying W Airways,"Medford, NJ - Allentown, PA",Curtiss C-46F,2,2,Lifted off prematurely to avoid a parked aircraft and struck trees.
5,9,1969,"Reggio di Calabria, Italy",Aero Transporti Italiani,Rome - Reggio di Calabria,Fokker F-27 Friendship 600,36,1,Landed short of the runway and hit a wall. Misjudgement by the pilots of the distance between the aircraft and the ground during the final phase of the landing approach.
6,8,1969,"Near Salinas Victoria, Nuevo Leon, Mexico",Compania Mexicana de Aviacion,Mexico City - Monterey,Boeing B-727-64,79,79,"While the crew was descending and attempting to align with the runway, the plane hit high ground, several kilometers from the airport, in poor weather conditions. Excessive speed and wide radius of turn took the  aircraft out of the designated descent area and over rising terrain."
6,7,1969,"North Bend, Oregon",Eureka Aero Inc. - Air Taxi,,Cessna 337C,3,3,Collided with trees on approach. Improper IFR operation. Descended below minima for reasons unknown.
6,15,1969,"Pasco, Washington",Cascade Airways,Pasco - Spokane,Beechcraft 99,2,2,"The aircraft pitched up upon take off, stalled and crashed. The pitch trim was found in the full nose up position. Inadequate preflight preparation and/or planning, improper operation of flight controls by copilot. Failed to obtain/maintain flying speed."
7,20,1969,"Near Monroe, Georgia",Air South,"Atlanta, GA - Sumpter, SC - Greer, SC",Beechcraft B-99,14,14,"The aircraft descended in a near vertical dive crashing to the ground. Unwanted change in longitudinal trim which resulted in a nose down high-speed flight condition that was beyond the physical capacity of the pilots to overcome. The initiating element in the accident sequence could not be specifically determined. However, design of the aircraft flight control system was conducive to malfunctions of the flight control systems which, if undetected by the crew could lead to loss of control."
7,15,1969,"Barrow, Alaska",Interior Airways - Air Taxi,"Sagwon,AK - Elusive Lake, AK",Grumman G-44A,2,2,Crashed into lake while attempting to land. Aircraft porpoised and sank into a lake. Improper level off. Improper recovery from bounced landing.
7,6,1969,"New York City, New York",New York Airways,New York - Newark,de Havilland Canada DHC-6 Twin Otter 200,14,3,The plane flew into wake turbulence and crashed.  The pilot was 12 minutes behind schedule and made an intersection takeoff. The tower warned him of wake turbulence from a recently departing jet.
7,13,1969,"Sparrevohn, Alaska",Safeway Airways,"McGrath, AK - Sparrevohn, AK",Cessna 320,4,4,The aircraft flew into rising terrain (blind canyon). Continued VFR flight into adverse weather conditions.
7,17,1969,"Kekaha, Hawaii",Trans Isle Air,Kalaupapa - Lihue,De Havilland DH-104 Dove,13,1,The sightseeing flight collided with trees after experiencing an engine failure. Failure of valve assembly. Pilot-in-command exercised poor judgment. Unwarranted low flying.
7,12,1969,"AtlantiCity, New Jersey",Trans World Airlines,Training,Boeing 707-331C,5,5,"Crashed during a missed approach procedure. A loss of directional control, which resulted from the intentional shutdown of the pumps supplying hydraulipressure to the rudder without a concurrent restoration of power on the No.4 engine. A contributing factor was the inadequacy of the hydraulifluid loss emergency procedure when applied against the operating configuration of the aircraft."
7,15,1969,"Grand Canyon, Arizona",Halvorson - Air Taxi,Sightseeing,Bell 47G3B1,3,3,The helicopter collided with trees after experiencing engine failure. Pilot overshot two suitable landing areas.
8,14,1969,"Niagra Falls, Canada",Prior Aviatoin - Air Taxi,Sightseeing,Bell 47G-2,3,3,The helicopter crashed into a  river after experiencing engine failure.
8,17,1969,"Near Long Tieng, Laos",Air America,"Long Tieng, Laos - Sam Thong, Laos",Pilatus Pc-6C,13,13,The plane crashed into a hillside as it was about to come in for a landing and after the pilot was shot.
8,20,1969,"Newton, Iowa",Private Charter,Chicago - Des Moines.,Cessna 172H,3,3,"The single engine plane took off at night in rainy weather despite warnings of a building storm front. Fighter, Rocky Marciano, 45,  killed. The pilot was not cleared to fly IFR and had only 35 hours of night flying experience. The plane got as far as Newton, Iowa. The plane was seen flying barely 100 feet off the ground when it entered a rolling bank of clouds. Reappearing once, it rose and disappeared again. The plane crashed into a lone oak tree in the middle of a corn field. After a stop at Des Moines, Marciano was on his way home to attend his birthday party. Pilot attempted operation beyond experience/ability level. Continued VFR flight into adverse weather conditions. Spatial disorientation."
9,11,1969,"Near Pakse, Laos",Military - Royal Lao Air Force,,Douglas C-47,35,35,Crashed near the Meking River after being unable to land because of lower clouds and  running out of fuel.
9,5,1969,"Korat Air Base, Thailand",Military - U.S. Air Force,,Lockheed EC121R,16,4,"Dropped down below the glide path and struck approach lights, 3,000 feet short of the runway during a second approach."
9,14,1969,"Near Medina, Colombia",SATENA,Bogota - Villavicencio,Douglas DC-3,28,28,"Crashed into a mountain, 30 miles from its destination after being diverted because of a severe storm."
9,14,1969,"Near Fairland, Indiana",Allegheny Airlines / Forth Corporation,Indianapolis - Bakalar AFB,MD Douglas DC-9-31/Piper Cherokee PA-28,83,83,"Midair collision at 2,500 ft. The Piper crashed into the tail of the DC-9 as it prepared to land. Eighty-two killed aboard the DC-9, one aboard the Cessna.  Inadequate VFR separation and deficiencies in the ATC system in the terminal area with mixed VFR/IFR traffic."
9,20,1969,"Londrina-Parana, Brazil",VASP,Camp Grande - Londrina - Sao Palo,Douglas DC-3,21,20,"Fifteen minutes after leaving Londina, the port engine was feathered and aircraft returned to Londrina. The plane crashed while attempting a go-around after a failed landing attempt. The only survivor was a crew member thrown clear of the accident."
9,17,1969,"Campbell River, Canada",PacifiWestern Airlines,Vancouver - Campbell River,Convair CV-640,15,4,Crashed into a hill  while attempting to land in inclement weather. Non-compliance with the instrument approach procedures. Pilot error.
9,16,1969,"Near Hoi An, Vietnam",Air Vietnam (South Vietnam),Pleiku - Da Nang,Douglas DC-4 / USAF F-4E,76,74,"Midair collision. The F-4E landed safely. The DC-4 crashed, killing all seventy-five aboard and two on the ground. Misconstrued instructions on landing by the DC-4."
10,7,1969,Gulf of Tonkin,Military - U.S. Navy,,Grumman C-2A,26,26,Crashed while flying from Subi Point in the Philippines to an aircraft carrier.
10,17,1969,"Denver, Colorado",Metro Commuter - Air Taxi,"Rawling, WY - Denver, CO",Beechcraft 65-B80,5,5,Crash landed off of airport. Engine failure. Improper operation of powerplant controls. Pilot accepted weather below MDA for approach.
11,15,1969,"Point Alexander, Alaska",Channel Flying Service - Air Taxi,"Sitka, AK - Pt. Alexander, AK",Cessna 180H,2,2,The wreckage of the float plane was found on a rugged beach with the pilot and passengers missing. Cause undetermined.
11,20,1969,"Mt. Pilot Knob, Glen Falls, New York",Mohawk Airlines,Albany - Glenn Falls,Fairchild-Hiller FH-227B,14,14,"Struck trees on the northwest slope of Pilot Knob Mountain, and impacted a rock cliff, after which the aircraft fell 38ft, becoming lodged between trees. The captain exceeded his clearance limits and flew the aircraft into a severe 'lee side' mountain downdraft at an altitude insufficient for recovery."
11,8,1969,"Near Ikeja, Nigeria",Nigeria Airways,Kano - Lagos,BAC VC-10-1101,87,87,The aircraft crashed and burned 8 miles from Lagos Airport where it was to have landed. Cause unknown.  Possibly insufficient monitoring of equipment. Allowing the aircraft to come down to an unsafe altitude without contact with the ground.
12,20,1969,"Near Keratea, Greece",OlympiAirways,Chania - Athens,Douglas DC-6B,90,90,"The aircraft crashed into Mt. Pan, 25 miles SW of Athens while preparing to land. The flight crew deviated from the proper track and descended below the minimum safe altitude during approach."
12,8,1969,"Passadumkeag, Maine",Aroostook Air - Air Taxi,"Houlton, ME - Portland, ME",Piper PA-23,3,3,"Hit a mountain at 1,350 ft. on initital approach. Minimum flying altitude 1,900 ft.  Improper IFR operation."
12,10,1969,"Near San Diego, California",Military U.S. Navy,,LTVF-8J,1,0,The fighter crashed into Miramar Naval Air Station after engine failure and total flame out.
1,0,1970,"Nulato, Alaska",Galena Air Service - Air Taxi,"Nulato, AK - Tanana, AK",Cessna 180,4,2,Emergency flight to airlift sick patient. Collided with trees while en route. Pilot stayed low to maintain ground contact at night. Continued VFR flight into adverse weather conditions.
1,22,1970,"Stockholm, Sweden",Spantax,Stockholm - Zurich,Convair CV-990-30A-5,10,5,"The plane developed trouble in the No. 4 engine and the takeoff was aborted and the plane returned to the gate.  It was decided to continue the ferry flight to Zurich on three engines.  As the aircraft started its take-off roll the nose yawed to the right. This was corrected by retarding no.1 engine power. The aircraft rotated at 134kts with 27deg. Flaps. While climbing, the aircraft banked 4 to 6 degrees to the right and the airspeed dropped to 10kts below V2. The plane then contacted some tree tops, banked 10 to 15 degrees and crashed. Unexpected early loss of external visual reference after take-off and loss of directional control during transition from visual to instrument flying. Windshear."
1,12,1970,Near Villia Greece,Military - Royal HelleniAir Force,,Douglas C-47,27,23,"The aircraft, carrying paratroopers, crashed into a mountain in fog."
1,6,1970,"Faleolo, Western Samoa",Polynesian Airlines,"Apia, Western Samoa - Pago Pago, American Samoa",Douglas DC-3,32,32,"Crashed into a lagoon 400 yards past the end of the runway, seconds after taking off after the plane pitched up and stalled. Windshear, precipitation and turbulence."
1,3,1970,"Portage, Michigan",Buckeye Air Service - Air Taxi,"Detroit, MI - Chicago, IL",Beechcraft TC-45J,2,2,Left engine feathered. Improper emergency procedure. Failed to use flaps. Pilot made go-around due to not extending flaps full.
1,7,1970,"Cleveland, Ohio",TAG Airlines,Cleveland - Detroit,De Havilland Dove,9,9,The aircraft suffered an airframe failure while en route. Fatigue fracture of wing attachment fitting bolts. FAA replacement time exceeded.
2,18,1970,"Long Island Sound, Connecticut",Pilgrim Airlines,"Groton, CT - New York, NY",de Havilland Canada DHC-6 Twin Otter 100,5,5,Crashed into Long Island Sound while on a flight from Groton to New York.  Fuel exhaustion resulting from inadequate flight preparation and erroneous in-flight decisions by the pilot-in-command.
2,18,1970,"Off Santo Domingo, Dominican Republic",Compania Dominicana de Aviacion,Santo Domingo - San Juan,McDonnell Douglas DC-9-32,102,102,"Two minutes after taking off , the crew reported losing an engine and turned back towards the airport. The plane then descended rapidly and crashed into the sea. Featherweight boxer Carlos Cruz and members of  the Puerto Rican women's national volleyball team killed."
2,19,1970,"Elizabeth, New Jersey",Suburban Airlines - Air Taxi,"Sherbrooke, Canada - Newark, NJ",Cessna 402,4,4,"No second in command pilot. ILS approach, descended below glide slope and hit natural gas storage tank holder at 190 ft. AGL."
2,13,1970,"Zurich, Switzerland",Swissair,Zurich - Tel Aviv,Convair CV-990-30A-6,47,47,"About 9 minutes after taking off, the crew reported trouble with the aircraft's cabin pressure and radioed they were returning to the airport. The crew reported they suspected an explosion in the aft cargo hold. While returning to the airport the crew lost navigational instruments and electrical power. The cockpit filled with smoke and the plane crashed into a forest. Detonation of an explosive device in the rear section of the passenger cabin shortly after takeoff. A bomb with an altimeter trigger was believed to have been placed in a package mailed to an Israeli address by Palestinian extremists."
3,11,1970,"Near Da Nang, South Vietnam",Military - U.S. Navy,Taiwan - Da Nang,Lockheed EC-121P,31,23,"The pilot tried to stretch the approach to avoid workers on the runway, ran out of runway, attempted a go-around, was unable to gain altitude and crashed into several structures, trucks and a U.S. Navy Jet."
3,16,1970,"Binghamton, New York",Commuter Airline - Air Taxi,"Binghamton, NY - Washington DC",Beechcraft C-45H,11,3,"Ran off end of runway, crashed and burned while attempting to take off. Attempted take off with snow on wings. Take off aborted too late to remain on runway."
3,19,1970,"Colorado City, Arizona",Grand Canyon Airlines,Grand Canyon - Las Vegas,Piper PA-32,6,6,"Flew into thunderstorms and turbulence, crashed while en route. Continued VFR flight into adverse weather conditions. Spatial disorientation."
4,8,1970,"Casablanca, Morocco",Royal Air Maroc,Agadir - Casablanca,Aerospatiale Caravelle 3,82,61,The aircraft crashed 9.7 km short of the runway during approach in the fog and broke in two.
4,0,1970,"Cambridge, Maryland",East Coast Air - Air Taxi,"Teterboro, NJ - Cambridge, MD",Piper PA-32,3,3,Collided with trees while attempting to land in fog.  Either misread or failed to read instruments correctly.
5,15,1970,"Near St. Croix, US Virgin Islands",Antillian Airlines,New York City - St. Maarten,McDonnell Douglas DC-9-33CF,63,23,"The flight was scheduled to fly from New York to St. Maarten. Because of poor visibility, the aircraft could not land at St. Maarten and was diverted to San Juan, Puerto Rico. Five minutes later the crew was told the weather had improved at St. Maarten and were directed back. After 3 missed landing attempts at St. Maarten, the crew asked to be diverted to St. Thomas. By this time, the plane was very low on fuel and the crew chose to divert to St. Croix. While trying to make St. Croix, the aircraft ran out of fuel and ditched into the sea, 35 miles from shore, sinking in 5,000 ft. of water. Improper management of fuel by the crew. Continued, unsuccessful attempts to land at St. Maarten until insufficient fuel remained to reach an alternate airport. A contributing factor was rain showers in the approaching zone not reported to the crew. Inadequate warning given to passengers before the ditching."
5,21,1970,"Pellston, Michigan",Executive Jet Sales Inc.,Detroit - Pellston,Gates Learjet 23,6,6,"The aircraft, cleared for an instrument landing, broke through scattered clouds at 400 feet, landing short of the runway, crashing into trees and exploding into a ball of fire. Illusions produced by the lack of visual cues during a circling approach over unlighted terrain at night to a runway not equipped with approach lights or other visual approach aides. Possibility of altimeter error. United Auto Worker's President, Walter Reuther, 63, and his wife killed along with Oskar Stronorov, William Wolfman and pilots George Evans and Joseph Karrafa."
5,9,1970,"Chamblee, Georgia",Lehigh Acres Development Inc.,"Chamblee, GA - Fort Myers,FL",Martin 404,33,1,There was a loss of power as the aircraft climbed after taking off from DeKalb Peachtree Airport. The plane touched down and slid along a highway for one-half a mile striking a automobile killing 5 people. Loss of effective engine power because of improper fuel having been placed in the tanks by relatively untrained personnel. A contributing factor was the flightcrew did not detect the error.
6,3,1970,"Tripoli, Libya",Ceskoslovenske Aerolinie,,Tupolev TU-104A,13,13,Undershot runway in fog and crashed after two failed landing attempts. Crew error.
7,14,1970,"McGrath, Alakska",Reeder Flying Service,"McGrath AK - Galena, AK",Douglas DC-3,27,5,"Crashed into trees shortly after taking off. The pilot-in-command diverted attention from operation.  Pilot rotated at V2, reduced power, co-pilot raised gear, prop hit runway."
7,19,1970,"Near Arbucias, Gerona, Spain",Dan Air Services,Manchester - Barcelona,de Havilland Comet 4,112,112,"Due to heavy traffic, the flight was diverted from the planned route. The aircraft failed to follow the assigned airway and crashed into a cloud obscured Montseny Mountain while on approach. The deviation from the assigned airway may have been caused by malfunctioning equipment. In addition, the ATC did not realize the aircraft was deviating from its assigned course."
7,8,1970,"Toronto, Canada",Air Canada,Montreal - Toronto - Los Angeles,McDonnell Douglas DC-8-63,109,109,"While attempting to land at Toronto, at approximately 60 feet above the runway, the spoilers were inadvertently deployed causing the aircraft to fall to the runway and lose the No. 4 engine. With the wing on fire, the captain decided to go-around but while circling the plane lost the No. 3 engine and eventually went into a seep dive and crashed. Inadvertent deployment of the spoilers by the first officer while the aircraft was still in the air. Faulty design by allowing the spoiler handle to perform two different unrelated tasks (lift to arm and pull to deploy). After the crash McDonnell Douglas denied there was any design flaw and the FAA decided to issue an Airworthiness Directive requiring a warning placard on all DC8s. After two and possibly three more crashed with the same cause an AD was issued requiring a safety lock be installed."
7,17,1970,North AtlantiOcean,Military - Soviet Air Force,Reykjavik - Halifax - Sidney,Antonov AN-22,23,23,"Disappeared without a trace while en route with a final destination of Peru, 40 minutes after takeoff. The plane was carrying a field hospital to earthquake stricken Peru."
7,10,1970,"Lincoln, New Mexico",Del Rio Flying Service - Air Taxi,"San Antonio, TX - Rudioso, NM",Cessna 310J,7,7,Flew into mountain ridge obscured by clouds. Continued VFR flight into adverse weather conditions.
7,11,1970,"Tokyo, Japan",Flying Tiger Line,Tokyo - Okinawa,McDonnell Douglas DC-8-63AF,4,4,Cargo plane. An unarrested rate of descent due to inattention of the crew to instrument altitude references while the pilot was attempting to establish outside visual contact in meteorological conditions which precluded such contact during that segment of a precision radar approach inbound from the Decision Height.
8,2,1970,"Islamabad, Pakistan",Pakistan International Airlines,Rawalpindi - Lahore,Fokker F-27 Friendship 200,30,30,Crashed into terrain after takeoff in thunderstorms and strong winds.
8,15,1970,"Near Cuzco, Peru",Lineas Aereas Nacionales SA (Peru),Cuzco - Lima,Lockheed 188A Electra,100,99,"The flight crashed shortly after takeoff after the No. 3 engine failed. Procedural error after an emergency occurred. With flaps retracted, the aircraft lost altitude and crashed while in a turn. The improper execution of engine-out procedures by the flight crew with contributing factors of improper loading of the aircraft and improper maintenance procedures by company personnel."
8,3,1970,"Taipei, Taiwan",China Airlines (Taiwan),Hwa-Lien,NAMC YS-11A-219,31,14,Crashed on Yuan mountain while on approach to Taipei during a thick fog.
9,16,1970,"New York, New York",Trans International Airlines,"Jamaica, NY - Washington D.C.",McDonnell Douglas DC-8-63CF,11,11,"Rejected takeoff. Lost control and crashed. Loss of pitch control caused by the entrapment of a pointed, asphalt-covered object between the leading edge of the right elevator and the right horizontal spar web access door in the aft part of the stabilizer."
9,8,1970,"Cranbrook, Canada",Eagle Flight - Air Taxi,"Portland, OR - Cranbrook, Canada",Cessna T337B,4,4,Descended below minimum approach altitude for unknown reasons.
10,12,1970,"Mt. Trelease, near Silver Plume, Colorado","Charter, Golden Eagle Aviation Inc.","Wichita - Denver - Logan, Utah",Martin 404,40,30,"Two charter planes took off Wichita for a flight to Logan, Utah via Denver. The flight was uneventful to Denver.  The crew of N464M decided to fly a sceniroute the rest of the way to Logan. The aircraft, which was overloaded by 5,165 lbs. , flew into a box canyon. Confronted with steeply rising terrain, the pilot made a sharp bank trying to turn around in the narrowing valley and stalled, crashing into a mountainous forested area on  Mt. Trelease. Numerous members and staff of the Wichita State Football team were killed. The pilot had only 123 total hours in a Martin 404, the copilot 30 hours. Intentional operation of the aircraft over a mountain valley route at an altitude from which the aircraft could neither climb over the obstructing terrain ahead, nor execute a successful course reversal. Other factors included overloaded conditions, lack of a flight planning and minimum qualifications of the crew."
10,14,1970,"Near Taipei, Taiwan",Military - U.S. Air Force,Taipei - Ching Chuan Kang,Lockheed C-130E,43,43,The aircraft struck a mountain ridge 6 minutes after taking off from Taipei. Deviation off course while flying  IFR in zero visibility.
10,15,1970,"Mahaffey, Pennsylvania",Private,"Dubois, PA - Roanoak, VA",Aero Commander 500-B,2,2,"The aircraft crashed into a mountainside 20 minutes after taking off. NASCAR driver Curtis Turner, 46, was killed along with pro-golfer Clarence King. King was flying the plane and had a blood alcohol of 0.17. Alcoholiimpairment of efficiency and judgment.  Evidence showed the passenger, Turner had a severe heart attack prior to the accident."
10,21,1970,"Dayton, Ohio",Saturn Airways,"Dayton, OH - Ft. Dix, NJ",Lockheed L-100-20 Hercules,3,3,"The crew of the cargo plane became disoriented and struck the ground 5,000 ft. short of the runway. Fog, low ceiling, spatial disorientation, improper IFR operation."
10,16,1970,"New Castle, Delaware",Delaware Aviation - Air Taxi,"Teleboro, NJ  - Wilmington, DE",Piper PA-28R,2,2,"Pilot received landing clearance then was observed in climbs, dives and turns below traffipattern before crashing. Undetermined cause."
11,19,1970,"Near Huntington, West Virginia",Southern Airways,"Kingston, NC - Huntington, WV",McDonnell Douglas DC-9-31,75,75,"While on approach, the aircraft crashed one mile short of Runway 11 at Tri-State Airport in rain and fog. Thirty-six players and 5 coaches on the Marshall University football team were among those killed. Improper procedures executed by the crew. Descent below Minimum Descent Altitude during a nonprecision approach under adverse operating conditions, without visual contact with the runway environment. The reason for this descent was not able to be determined, although the two most likely explanations are ( a ) improper use of cockpit instrumentation data, or (b) an altimetry system error ."
11,9,1970,"Nar Can Tho, South Vietnam",Military - Vietnamese Air Force / Military - U.S. Army,,de Havilland RU-6A Beaver /Bell UH-1H,18,18,"Mid-air collision at 1,200 ft."
11,17,1970,"Anchorage, Alaska",Capital Airlines,Anchorage - Yokota AFB,McDonnell Douglas DC-8-63CF,229,47,"The military charter overran the runway during takeoff, hit the ILS localizer support structure and burst into flames. The lack of acceleration, undetected by the crew  until after V1 speed was reached caused by the main landing gear wheels remaining locked after power was applied for takeoff on the icy runway due to brake or hydraulifailure."
11,13,1970,"Near Nha Trang, South Vietnam",Military - U.S. Air Force,Saigon - Nha Trang AB,Fairchild C-123K,79,79,Crashed into high ground on a mountainside while on a flight from Saigon to Nha Trang Air Base. Cause unknown.
11,14,1970,"Near Cam Ranh, South Vietnam",Military - U.S. Air Force,Cam Ranh Bay AB - Siagon,Fairchild C-123K,44,42,Crashed into the jungle 15 miles from it destination as the pilot prepared to land at Saigon in poor weather conditions.
12,14,1970,"St. Thomas, Virgin Islands",Trans Caribbean Airways,New York - St. Thomas,Boeing B-727-2A7,55,2,"The aircraft experienced a hard landing which caused it to bounce. The crew executed a second touchdown which caused the main landing gear to fail. The aircraft veered off the right side of the runway, passed through the airport perimeter fence, crossed a paved highway and hit an embankment. Captain's use of improper techniques in recovering from a high bounce generated by a poorly executed approach and touchdown."
1,16,1971,"Edison, New Jersey",American Airlines / Private,"San Francisco, CA - Newark, NJ",Boeing B-707-323 / Cessna 150,21,2,"Midair collision at 3,000 ft.  Failed to see and avoid other aircraft. The Boeing 707 landed safely. Two killed on the Cessna.  System permitted VFR operation in congested area in reduced visibility."
1,15,1971,"Zurich, Switzerland",Balkan Bulgarian Airlines,Paris - Zurich - Sofia,Ilyushin IL-18,47,45,"The crew decided while on the ground at Paris not to stop at Zurich but later, while in flight, changed their minds when they received reports of improving weather. The plane crashed during the approach to Zurich after drifting to the right and below the glide path. The left wing tip and landing gear struck the ground first."
1,7,1971,"Near Pacae, Peru",Fuerza Aérea del Peru,Mazamari - Lima,Curtiss-Wright C-46,35,35,Crashed in the Andes mountains after experiencing engine trouble.
2,16,1971,"Aguadilla, Puerto Rico",Jamie Ramirez - Air Taxi,"Mona Is., PR - Mayaguez, PR",Piper PA-28,3,3,The pilot declared a engine problem and ditched into the ocean.  A search found no evidence of the aircraft or occupants.
3,6,1971,"Ontario, California",Western Airlines,Los Angeles - Ontairo,Boeing B-720-047B,5,5,"The aircraft, during a training flight suddenly rolled to the left and  crashed after a missed, 3 engine, ILS approach. Failure of the aircraft rudder hydrauliactuator support fitting which led to the loss of left rudder control. Stress corrosion cracks."
4,7,1971,"Near San Jose, Philippines",Military - Philippine Air Force,Manila - Nichols AFB,Douglas C-47A,40,39,"Crashed into a rice field moments after taking off from Basa Air Base near Floridablanca. Climbed to 200 ft. banked to the left, stalled and crashed to the ground. Failure of the right engine. A young boy was the only survivor."
4,9,1971,"Kayenta, Arizona",Monument Valle - Air Taxi,"Kayenta, AZ - Tucon, AZ",Cessna TU206B,2,2,The aircraft went into a spin at the top of a ridge and crashed. Moderate to severe turbulence was forcast in the area.
4,17,1971,"C. Amalie, Virgin Islands",Costal Airway,"C. Amalie, VI - San Juan, PR",Beech E18S,8,8,The plane crashed on take off after an engine failure. Inadequate maintenance and inspection of powerplants. Failed to follow approved procedures and directives. Improper emergency procedures.
